Agriculture,Mining and quarrying,Manufacturing,Electricity and water supply,Construction,Wholesale and retail trade,"Accomodation, Food and Services",Transport and storage,Information and Communication,Financial & insurance,Public Adminsitration,"Professional,Admin and Support Services",Real estate,Education,Health,Other services,FISIM,All indust. at basic prices,Taxes on products,GDP at market prices,"GDP,
seasonally adjusted",Filled_Year,Quarters
490237,18903,199902,53780,128305,189364,24266,249125,56499,147452,114705,60357,212776,101752,42764,54548,-53058,2091678,193552,2285230,2262853,2018,1.0
553221,17210,189065,55318,130708,186473,23254,260081,55110,149766,127754,65292,218249,101607,46240,54978,-51893,2182434,199461,2381895,2316982,2018,2.0
447489,15751,189071,53864,141169,194297,24069,274585,62650,154836,123897,66800,223142,99962,47842,57589,-53278,2123734,200580,2324314,2361766,2018,3.0
406528,17045,207331,54207,145472,192834,28431,272473,65861,170571,126824,69013,227454,96194,51931,58675,-57185,2133656,215212,2348868,2403465,2018,4.0
543176,18402,207415,54487,152755,202261,28733,294080,61936,153577,125089,65835,231811,95684,45109,59909,-54015,2286245,196866,2483110,2453826,2019,1.0
589054,18048,200283,55866,155731,202674,25842,311451,58629,160324,140935,71216,235397,97226,48600,59834,-53135,2377975,218351,2596326,2526682,2019,2.0
515988,16637,195306,57061,165404,213780,27734,306673,67245,170504,135858,71413,238476,110441,49953,61233,-56051,2347655,215061,2562716,2612888,2019,3.0
487491,19682,206250,53214,156764,219202,37271,290626,69609,183296,139485,76293,241047,128524,54306,59891,-63430,2359523,236052,2595574,2649996,2019,4.0
672188,19864,209401,54814,178341,211630,32165,290038,67291,168877,133714,68970,243543,118079,46334,60215,-51415,2524048,224990,2749038,2709693,2020,1.0
679888,20033,196652,52575,181003,209179,14506,261909,61780,168060,150864,53914,246671,84979,54217,48561,-51267,2433527,185519,2619046,2552181,2020,2.0
494552,17004,189196,57096,191261,206014,12582,297855,70942,179792,150851,59724,250615,95713,54370,55714,-53221,2330061,206861,2536922,2598165,2020,3.0
585985,19501,219078,59085,199548,240751,18590,307118,74808,206329,157195,69629,255374,114319,58044,51895,-62737,2574511,235553,2810064,2859337,2020,4.0
668391,21178,219496,57910,197445,240068,26074,318296,70597,195419,145171,64259,260947,136439,50688,56031,-55874,2672533,242256,2914789,2865041,2021,1.0
700208,21809,212215,55755,210061,225959,25560,339777,69787,205898,164514,69188,266457,120529,63779,61803,-56740,2756561,237746,2994307,2923405,2021,2.0
564786,20629,214751,60600,218233,226908,35185,373092,72148,215178,160209,72739,271904,129397,59193,64772,-60003,2699722,243109,2942831,3025630,2021,3.0
649805,28428,239172,61717,223638,259967,46859,360448,78905,244131,165092,78730,277288,135580,64884,59971,-71975,2902640,273095,3175735,3223069,2021,4.0
754191,31617,251520,57555,243353,274206,34383,407764,76673,236707,155781,74802,282609,141417,51693,61941,-61273,3074937,252041,3326978,3261862,2022,1.0
783036,32491,260668,56660,226026,251583,33289,443468,76736,245652,173070,77661,286599,121933,61723,66062,-57167,3139491,270678,3410169,3333189,2022,2.0
595765,24323,253192,60569,245657,254145,34756,489191,80218,245281,168083,81087,289259,134453,70871,70651,-70306,3027195,273734,3300930,3404579,2022,3.0
696513,31870,280909,65199,238738,262171,44914,427797,84677,281793,174935,84981,290590,144901,60049,64466,-76035,3158466,286461,3444927,3490715,2022,4.0
889860,34724,281937,61753,246682,306684,40021,462460,83653,256645,167230,82432,290590,145270,51247,64979,-65874,3400295,288300,3688595,3609866,2023,1.0
